Time,RXbytes,RXpackets,TXbytes,TXpackets
Fri Aug  2 15:01:01 EEST 2019,374565995434,396664633,3220812367471,2209238403
Fri Aug  2 16:01:01 EEST 2019,374660375606,397202837,3232091317403,2216890262
Fri Aug  2 17:01:01 EEST 2019,374744868153,397689256,3242543531230,2223970758
Fri Aug  2 18:01:01 EEST 2019,374817977320,398166889,3254362958292,2231919555
Fri Aug  2 19:01:01 EEST 2019,374887668005,398584654,3264618917178,2238832308
Fri Aug  2 20:01:01 EEST 2019,375093707773,400243626,3303846428606,2265058134
Fri Aug  2 21:01:01 EEST 2019,375148655530,400689936,3315902314436,2273126096
Fri Aug  2 22:01:01 EEST 2019,375210861855,401106833,3326928143632,2280527090
Fri Aug  2 23:01:01 EEST 2019,375333867542,401617692,3338394522529,2288235352
Sat Aug  3 00:01:01 EEST 2019,375417052178,402081868,3350474627200,2296308152
Sat Aug  3 01:01:01 EEST 2019,375474056685,402490665,3362514968867,2304322840
Sat Aug  3 02:01:01 EEST 2019,375528540474,402898280,3374580674663,2312359876
Sat Aug  3 03:01:01 EEST 2019,375581046917,403317372,3386585251645,2320366814
Sat Aug  3 04:01:01 EEST 2019,375628841292,403726370,3398706448247,2328438747
Sat Aug  3 05:01:01 EEST 2019,375676679369,404134671,3410816495980,2336503476
Sat Aug  3 06:01:01 EEST 2019,375780743376,404612637,3422958460669,2344614269
Sat Aug  3 07:01:01 EEST 2019,375833137370,404978678,3434475606473,2352281580
Sat Aug  3 08:01:01 EEST 2019,375879216048,405366709,3446430168183,2360236117
Sat Aug  3 09:01:01 EEST 2019,375925878997,405763687,3458465537982,2368244302
Sat Aug  3 10:01:01 EEST 2019,375976406874,406190777,3470448084339,2376283702
Sat Aug  3 11:01:01 EEST 2019,376052274540,406600462,3482559458361,2384366668
Sat Aug  3 12:01:01 EEST 2019,376098667368,406991120,3494621225860,2392392694
Sat Aug  3 13:01:01 EEST 2019,376145544054,407390574,3506680725890,2400417682
Sat Aug  3 14:01:01 EEST 2019,376186070254,407694498,3515479386911,2406288707
Sat Aug  3 15:01:01 EEST 2019,376230049555,408052973,3527457877810,2414259266
Sat Aug  3 16:01:01 EEST 2019,376323774257,408491358,3538340734343,2421541494
Sat Aug  3 17:01:01 EEST 2019,376451187218,409005839,3549851058736,2429263803
Sat Aug  3 18:01:02 EEST 2019,376536835772,409405188,3560761703076,2436543793
Sat Aug  3 19:01:01 EEST 2019,376579757248,409746102,3570977823272,2443349873
Sat Aug  3 20:01:01 EEST 2019,376703248476,410143312,3582406797986,2450982410
Sat Aug  3 21:01:01 EEST 2019,376748753475,410523688,3593908983544,2458637809
Sat Aug  3 22:01:01 EEST 2019,376795328251,410919301,3605804127343,2466552452
Sat Aug  3 23:01:01 EEST 2019,376881792244,411339258,3617522259656,2474362707
Sun Aug  4 00:01:01 EEST 2019,376967107313,411742066,3629028562289,2482033535
Sun Aug  4 01:01:01 EEST 2019,377010069887,412076483,3639015446505,2488689126
Sun Aug  4 02:01:01 EEST 2019,377056614605,412474525,3650998132700,2496664346
Sun Aug  4 03:01:01 EEST 2019,377103501258,412876972,3663067109316,2504695892
Sun Aug  4 04:01:01 EEST 2019,377149974908,413273178,3675145553822,2512734499
Sun Aug  4 05:01:01 EEST 2019,377196505901,413671201,3687215674894,2520767794
Sun Aug  4 06:01:01 EEST 2019,377242909099,414067779,3699240773260,2528769831
Sun Aug  4 07:01:01 EEST 2019,377287799680,414433889,3710158820997,2536040625
Sun Aug  4 08:01:01 EEST 2019,377334133940,414829447,3722154120004,2544022526
Sun Aug  4 09:01:01 EEST 2019,377380807866,415229750,3734228410602,2552057893
Sun Aug  4 10:01:01 EEST 2019,377453556293,415621556,3746290398499,2560092657
Sun Aug  4 11:01:01 EEST 2019,384388967957,420685292,3758347641660,2568325245
Sun Aug  4 12:01:01 EEST 2019,384435327051,421081183,3770399416932,2576344926
Sun Aug  4 13:01:01 EEST 2019,384481894376,421479784,3782422884023,2584346568
Sun Aug  4 14:01:01 EEST 2019,384541280552,421889732,3794397425132,2592321552
Sun Aug  4 15:01:01 EEST 2019,384599585301,422300986,3806433982340,2600335428
Sun Aug  4 16:01:01 EEST 2019,384832591130,422812686,3818061576796,2608083253
Sun Aug  4 17:01:01 EEST 2019,384878848522,423204374,3830054348801,2616063887
Sun Aug  4 18:01:01 EEST 2019,384964670089,423662878,3841949468370,2624017214
Sun Aug  4 19:01:01 EEST 2019,385033812389,424111981,3853903353350,2632013163
Sun Aug  4 20:01:02 EEST 2019,385121536819,424600751,3866012280726,2640128175
Sun Aug  4 21:01:01 EEST 2019,385273348814,425188238,3878192281420,2648335372
Sun Aug  4 22:01:01 EEST 2019,385337698968,425606584,3890213607275,2656352543
Sun Aug  4 23:01:01 EEST 2019,385447819119,426065487,3902270611012,2664413740
Mon Aug  5 00:01:01 EEST 2019,385528379318,426754133,3914906949596,2672928457
Mon Aug  5 01:01:01 EEST 2019,385820035197,427771661,3927018884042,2681399748
Mon Aug  5 02:01:01 EEST 2019,386016515146,428389053,3938769257854,2689321669
Mon Aug  5 03:01:01 EEST 2019,386274198344,429177136,3950892684073,2697593326
Mon Aug  5 04:01:01 EEST 2019,386490058557,429887687,3962745323726,2705658982
Mon Aug  5 05:01:01 EEST 2019,386599049373,430384013,3974565116187,2713581158
Mon Aug  5 06:01:01 EEST 2019,386683833194,430807049,3986180079384,2721339955
Mon Aug  5 07:01:01 EEST 2019,386728083282,431154616,3996442284060,2728177359
Mon Aug  5 08:01:01 EEST 2019,386773575929,431533128,4008067622913,2735915325
Mon Aug  5 09:01:01 EEST 2019,386818952390,431912187,4019473526602,2743508625
Mon Aug  5 10:01:01 EEST 2019,413984829952,454001098,4057478255365,2770103610
Mon Aug  5 11:01:01 EEST 2019,414092385513,454466034,4068459202766,2777466122
Mon Aug  5 12:01:01 EEST 2019,414170724345,454901537,4079194034608,2784657857
Mon Aug  5 13:01:01 EEST 2019,414316548638,455444944,4090537849291,2792285215
Mon Aug  5 14:01:01 EEST 2019,414441172485,455938838,4101202102458,2799453405
Mon Aug  5 15:01:01 EEST 2019,414507757169,456338095,4111620926941,2806419092
Mon Aug  5 16:01:01 EEST 2019,414643391240,456796569,4121694215063,2813189238
Mon Aug  5 17:01:01 EEST 2019,414715170983,457185916,4131147414178,2819561508
Mon Aug  5 18:01:01 EEST 2019,414780912591,457635995,4142766926409,2827349339
Mon Aug  5 19:01:01 EEST 2019,414847169233,458107598,4154462490346,2835218907
Mon Aug  5 20:01:01 EEST 2019,414894791687,458478139,4164922292925,2842222617
Mon Aug  5 21:01:01 EEST 2019,414968829336,458934396,4175368239656,2849265388
Mon Aug  5 22:01:01 EEST 2019,415027709602,459353511,4185804416571,2856296791
Mon Aug  5 23:01:01 EEST 2019,415068834095,459698055,4196488320624,2863402156
Tue Aug  6 00:01:01 EEST 2019,415111893061,460044737,4207144330903,2870490942
Tue Aug  6 01:01:01 EEST 2019,415151220841,460361150,4216979533133,2877032558
Tue Aug  6 02:01:01 EEST 2019,415186802492,460628086,4224323757416,2881929220
Tue Aug  6 03:01:01 EEST 2019,415225292410,460938494,4233413051199,2887978329
Tue Aug  6 04:01:01 EEST 2019,415265698032,461278651,4244093043492,2895077985
Tue Aug  6 05:01:01 EEST 2019,415305516419,461610134,4254488883746,2901989144
Tue Aug  6 06:01:01 EEST 2019,415344292593,461926283,4264240080234,2908474357
Tue Aug  6 07:01:01 EEST 2019,415384474140,462258101,4275305342658,2915827163
Tue Aug  6 08:01:01 EEST 2019,415424760067,462597376,4285849300799,2922835423
Tue Aug  6 09:01:01 EEST 2019,415464179505,462923123,4296189839479,2929709677
Tue Aug  6 10:01:01 EEST 2019,415502918298,463239820,4305726943766,2936053023
Tue Aug  6 11:01:01 EEST 2019,415573201532,463634987,4315379349491,2942532303
Tue Aug  6 12:01:01 EEST 2019,415622560902,463983124,4324937466225,2948927272
Tue Aug  6 13:01:01 EEST 2019,415703162186,464438308,4336043886503,2956382769
Tue Aug  6 14:01:01 EEST 2019,415772528177,464834658,4345300321972,2962614042
Tue Aug  6 15:01:01 EEST 2019,415862914014,465303534,4355233171782,2969319600
Tue Aug  6 16:01:01 EEST 2019,415959385206,465714759,4365006449144,2975889614
Tue Aug  6 17:01:01 EEST 2019,416000134824,466042499,4375806507852,2983068702
Tue Aug  6 18:01:01 EEST 2019,416040869638,466375064,4385815214589,2989736717
Tue Aug  6 19:01:01 EEST 2019,416086938968,466728062,4394909306846,2995837621
Tue Aug  6 20:01:01 EEST 2019,416133309159,467095022,4405323541871,3002814071
Tue Aug  6 21:01:01 EEST 2019,416180998027,467471625,4415299875596,3009506088
Tue Aug  6 22:01:01 EEST 2019,416228035876,467854302,4425924456731,3016614761
Tue Aug  6 23:01:01 EEST 2019,416284782061,468205811,4435931125112,3023277153
Wed Aug  7 00:01:01 EEST 2019,416325798799,468556146,4447017446480,3030644278
Wed Aug  7 01:01:01 EEST 2019,416375951742,468892947,4457331828144,3037503930
Wed Aug  7 02:01:01 EEST 2019,416417340823,469249262,4468466238520,3044902861
Wed Aug  7 03:01:01 EEST 2019,416458994191,469608880,4480003583087,3052568098
Wed Aug  7 04:01:01 EEST 2019,416501760432,469978236,4491482862758,3060196577
